Player,FG36,FGA36,threesMade36,threesAttempted36,twosMade36,twosAttempted36,FT36,FTA36,ORB36,DRB36,TRB36,AST36,STL36,BLK36,TOV36,PF36,PTS36
Jarell Martin\martija01,3.7,9.7,0.6,1.6,3.2,8.1,2.6,3.2,2.7,7.7,10.5,0.5,1.1,0.6,1.8,5.9,10.6
Wesley Matthews\matthwe02,4.8,12.2,2.5,6.9,2.3,5.3,2.1,2.6,0.3,3.5,3.7,3,1.1,0.2,1.5,2.3,14.2
Luc Mbah a Moute\mbahalu01,3.8,7.6,0.9,2.2,3,5.4,1.2,1.8,0.9,2.5,3.4,0.8,1.6,0.7,0.9,2.5,9.8
James Michael McAdoo\mcadoja01,4.9,9.2,0.2,0.6,4.7,8.6,1.7,3.3,2.7,4.5,7.2,1.4,1.4,2.3,1.5,3.7,11.6
Patrick McCaw\mccawpa01,3.6,8.2,1.4,4.1,2.2,4.1,1,1.2,0.7,2.6,3.4,2.6,1.1,0.5,1.2,2.1,9.5
C.J. McCollum\mccolcj01,8.9,18.6,2.4,5.7,6.5,12.9,3.5,3.8,0.8,2.9,3.7,3.7,0.9,0.5,2.2,2.6,23.7
T.J. McConnell\mccontj01,4,8.6,0.2,0.9,3.8,7.7,1.2,1.5,0.7,3.6,4.2,9,2.3,0.2,2.7,2.3,9.4
Chris McCullough\mcculch01,7.2,14.4,0.5,3.2,6.8,11.3,1.4,2.3,4.1,4.5,8.6,0.9,0.9,0.9,1.4,3.2,16.2
K.J. McDaniels\mcdankj01,5.5,12,1.4,4.7,4.1,7.3,2.3,2.7,1.1,4.8,5.8,0.9,1.4,1.3,2.1,3.5,14.7
Doug McDermott\mcderdo01,5.3,11.9,1.8,5,3.5,6.9,1.7,2,0.5,3.8,4.3,1.4,0.3,0.1,0.9,1.9,14.1
JaVale McGee\mcgeeja01,10.1,15.5,0,0.1,10.1,15.4,2.7,5.4,4.9,7,11.9,0.8,0.9,3.3,1.9,5.3,23
Rodney McGruder\mcgruro01,3.5,8.4,1.3,4,2.1,4.4,0.8,1.3,1.7,3,4.7,2.3,0.8,0.3,1,2.6,9.1
Ben McLemore\mclembe01,5.5,12.8,2,5.2,3.5,7.6,2.1,2.8,0.6,3.4,3.9,1.6,0.9,0.2,1.9,3.3,15.2
Jordan McRae\mcraejo01,5.4,14.1,1.7,4.8,3.7,9.3,2.5,3.2,0.6,3.3,3.8,1.8,0.7,0.6,1.3,2.9,15.1
Josh McRoberts\mcrobjo01,4.2,11.1,1.2,2.9,2.9,8.2,0.6,0.9,2.2,4.8,7,4.7,0.9,0.4,2.2,2.9,10.1
Jodie Meeks\meeksjo01,5,12.5,2.7,6.7,2.3,5.8,3.2,3.6,0.2,3.5,3.8,2.2,1.7,0.2,1.8,2,16
Salah Mejri\mejrisa01,3.5,5.4,0,0.1,3.5,5.3,1.4,2.4,3.9,8.4,12.3,0.6,1.3,2.4,1.6,6,8.5
Jordan Mickey\mickejo01,3.8,8.7,0,0.3,3.8,8.4,2,3.6,3.3,5.4,8.7,1.8,0.8,1.5,2.3,3.1,9.7
Khris Middleton\middlkh01,6.1,13.5,1.8,4.2,4.3,9.3,3.3,3.7,0.4,4.5,5,4,1.7,0.3,2.6,3.2,17.3
C.J. Miles\milescj01,5.7,13.1,3.4,8.3,2.3,4.8,1.7,1.9,0.6,4,4.6,1,0.9,0.5,0.8,3.1,16.5
Mike Miller\millemi01,2.1,5.5,1.9,4.8,0.2,0.7,0.5,0.5,0.5,8.6,9.1,5.2,0.5,0,3.1,2.1,6.7
Patty Mills\millspa02,5.6,12.7,3,7.3,2.6,5.5,1.4,1.6,0.5,2.4,2.9,5.7,1.3,0.1,2.1,2.2,15.6
Elijah Millsap\millsel01,1.6,11,0,3.1,1.6,7.8,1.6,3.1,4.7,4.7,9.4,1.6,0,0,3.1,3.1,4.7
Paul Millsap\millspa01,6.6,14.9,1.2,3.7,5.5,11.2,4.8,6.2,1.7,6.5,8.2,3.9,1.4,1,2.4,2.9,19.1
Nikola Mirotic\mirotni01,5.5,13.4,2.8,8.1,2.8,5.3,2.1,2.7,1.3,6.9,8.2,1.6,1.1,1.2,1.7,2.7,16
Greg Monroe\monrogr01,7.6,14.3,0,0.1,7.6,14.3,3.5,4.7,3.3,7.2,10.5,3.7,1.8,0.8,2.8,3.3,18.8
E'Twaun Moore\mooreet01,5.6,12.2,1.5,4.1,4.1,8.1,1.1,1.5,0.7,2.4,3,3.2,1,0.6,1.2,2.6,13.8
Marcus Morris\morrima03,5.9,14.1,1.7,5,4.3,9.1,2,2.6,1.1,4.1,5.1,2.2,0.7,0.4,1.2,2.4,15.5
Markieff Morris\morrima02,6.2,13.5,1.1,3,5.1,10.5,2.7,3.3,1.6,5.9,7.5,1.9,1.2,0.6,2,3.9,16.1
Anthony Morrow\morroan01,4.9,12.7,2.1,6.7,2.9,6,1.7,1.9,0.6,1,1.6,1.3,1.2,0.1,0.3,2.2,13.7
